,2020-PHILIP MORRIS INTERNATIONAL-Annual,max
Biodiversity and Land Use,400,400
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,1,1
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,4,4
Packaging Material and Waste,373,373
Product Carbon Footprint,5,5
Raw Material Sourcing,10,10
Toxic Emissions and Waste,5,5
Water Stress,69,69
Accounting,0,0
Board,0,0
Business Ethics,80,80
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,6,6
Community Relations,223,223
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,287,287
Human Capital Development,62,62
Labor Management,126,126
Opportunities in Nutrition and Health,7,7
Privacy and Data Security,52,52
Product Safety and Quality,215,215
Responsible Investment,0,0
Supply Chain Labor Standards,367,367
Not ESG,250,250
