,2020-PHILLIPS 66-10K,2020-PHILLIPS 66-Sustainability,max
Biodiversity and Land Use,156,112,156
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,1,1
Financing Environmental Impact,2,0,2
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,4,4
Packaging Material and Waste,110,74,110
Product Carbon Footprint,1,1,1
Raw Material Sourcing,2,0,2
Toxic Emissions and Waste,1,0,1
Water Stress,203,116,203
Accounting,1,0,1
Board,1,0,1
Business Ethics,37,74,74
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,6,0,6
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,3,0,3
Community Relations,125,123,125
Controversial Sourcing,1,1,1
Financial Product Safety,2,0,2
Health and Demographic Risk,1,0,1
Health and Safety,31,95,95
Human Capital Development,67,88,88
Labor Management,41,37,41
Opportunities in Nutrition and Health,6,1,6
Privacy and Data Security,33,20,33
Product Safety and Quality,31,70,70
Responsible Investment,0,0,0
Supply Chain Labor Standards,84,42,84
Not ESG,1065,107,1065
