,2020-PING AN INSURANCE-Sustainability,max
Biodiversity and Land Use,56,56
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,4,4
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,5,5
Packaging Material and Waste,10,10
Product Carbon Footprint,1,1
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,21,21
Accounting,0,0
Board,0,0
Business Ethics,43,43
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,1,1
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,50,50
Controversial Sourcing,1,1
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,78,78
Human Capital Development,23,23
Labor Management,195,195
Opportunities in Nutrition and Health,2,2
Privacy and Data Security,57,57
Product Safety and Quality,73,73
Responsible Investment,2,2
Supply Chain Labor Standards,39,39
Not ESG,159,159
