,2020-POSCO-CSR,max
Biodiversity and Land Use,110,110
Carbon Emissions,1,1
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,0,0
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,62,62
Product Carbon Footprint,2,2
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,33,33
Accounting,0,0
Board,0,0
Business Ethics,44,44
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,50,50
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,93,93
Human Capital Development,39,39
Labor Management,178,178
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,34,34
Product Safety and Quality,118,118
Responsible Investment,1,1
Supply Chain Labor Standards,103,103
Not ESG,156,156
