,2020-POSTE ITALIANE-Annual,max
Biodiversity and Land Use,181,181
Carbon Emissions,3,3
Climate Change Vulnerability,1,1
Electronic Waste,104,104
Financing Environmental Impact,151,151
Opportunities in Clean Tech,3,3
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,11,11
Packaging Material and Waste,55,55
Product Carbon Footprint,5,5
Raw Material Sourcing,39,39
Toxic Emissions and Waste,3,3
Water Stress,51,51
Accounting,21,21
Board,3,3
Business Ethics,91,91
Ownership and Control,38,38
Pay,0,0
Tax Transparency,46,46
Access to Communications,3,3
Access to Finance,28,28
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,119,119
Controversial Sourcing,4,4
Financial Product Safety,15,15
Health and Demographic Risk,17,17
Health and Safety,231,231
Human Capital Development,59,59
Labor Management,585,585
Opportunities in Nutrition and Health,14,14
Privacy and Data Security,143,143
Product Safety and Quality,237,237
Responsible Investment,2,2
Supply Chain Labor Standards,163,163
Not ESG,2936,2936
