,2020-PROCTER _ GAMBLE-10K,2020-PROCTER _ GAMBLE-ESG,max
Biodiversity and Land Use,25,201,201
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,1,1
Financing Environmental Impact,4,0,4
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,5,5
Packaging Material and Waste,21,211,211
Product Carbon Footprint,0,0,0
Raw Material Sourcing,2,7,7
Toxic Emissions and Waste,0,2,2
Water Stress,2,149,149
Accounting,0,0,0
Board,0,0,0
Business Ethics,49,54,54
Ownership and Control,1,0,1
Pay,0,1,1
Tax Transparency,111,0,111
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,0,2,2
Community Relations,54,342,342
Controversial Sourcing,0,1,1
Financial Product Safety,0,0,0
Health and Demographic Risk,1,1,1
Health and Safety,39,126,126
Human Capital Development,78,126,126
Labor Management,129,208,208
Opportunities in Nutrition and Health,7,14,14
Privacy and Data Security,34,26,34
Product Safety and Quality,59,47,59
Responsible Investment,0,0,0
Supply Chain Labor Standards,176,174,176
Not ESG,743,123,743
