,2020-PROGRESSIVE-Annual,2020-PROGRESSIVE-10K,max
Biodiversity and Land Use,5,34,34
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,4,4
Financing Environmental Impact,2,12,12
Opportunities in Clean Tech,2,8,8
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,2,7,7
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,1,1
Water Stress,3,16,16
Accounting,1,9,9
Board,0,5,5
Business Ethics,28,101,101
Ownership and Control,1,9,9
Pay,0,0,0
Tax Transparency,2,15,15
Access to Communications,1,0,1
Access to Finance,0,3,3
Access to Health Care,0,0,0
Chemical Safety,0,9,9
Community Relations,44,247,247
Controversial Sourcing,0,5,5
Financial Product Safety,0,1,1
Health and Demographic Risk,1,2,2
Health and Safety,11,71,71
Human Capital Development,25,151,151
Labor Management,47,191,191
Opportunities in Nutrition and Health,4,32,32
Privacy and Data Security,6,76,76
Product Safety and Quality,23,104,104
Responsible Investment,0,0,0
Supply Chain Labor Standards,33,135,135
Not ESG,144,1715,1715
