,2020-PRUDENTIAL FINANCIAL-10K,2020-PRUDENTIAL FINANCIAL-ESG,2020-PRUDENTIAL FINANCIAL-Annual,max
Biodiversity and Land Use,32,106,16,106
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,1,0,1
Electronic Waste,0,0,71,71
Financing Environmental Impact,12,4,29,29
Opportunities in Clean Tech,1,1,3,3
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,8,0,8
Packaging Material and Waste,15,21,8,21
Product Carbon Footprint,0,6,0,6
Raw Material Sourcing,0,1,134,134
Toxic Emissions and Waste,0,0,0,0
Water Stress,16,57,9,57
Accounting,3,0,7,7
Board,1,0,0,1
Business Ethics,263,83,108,263
Ownership and Control,7,0,2,7
Pay,0,0,0,0
Tax Transparency,413,1,7,413
Access to Communications,0,0,0,0
Access to Finance,9,0,10,10
Access to Health Care,0,1,0,1
Chemical Safety,1,0,1,1
Community Relations,267,176,207,267
Controversial Sourcing,0,0,0,0
Financial Product Safety,2,0,3,3
Health and Demographic Risk,3,0,5,5
Health and Safety,157,113,82,157
Human Capital Development,220,100,120,220
Labor Management,249,110,212,249
Opportunities in Nutrition and Health,20,1,95,95
Privacy and Data Security,99,73,20,99
Product Safety and Quality,189,41,83,189
Responsible Investment,1,0,2,2
Supply Chain Labor Standards,299,78,225,299
Not ESG,3302,175,2753,3302
