,2020-PRUDENTIAL-Annual,2020-PRUDENTIAL-ESG,max
Biodiversity and Land Use,183,106,183
Carbon Emissions,1,0,1
Climate Change Vulnerability,1,1,1
Electronic Waste,6,0,6
Financing Environmental Impact,77,4,77
Opportunities in Clean Tech,6,1,6
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,12,8,12
Packaging Material and Waste,36,21,36
Product Carbon Footprint,3,6,6
Raw Material Sourcing,4,1,4
Toxic Emissions and Waste,0,0,0
Water Stress,64,57,64
Accounting,6,0,6
Board,1,0,1
Business Ethics,591,83,591
Ownership and Control,8,0,8
Pay,0,0,0
Tax Transparency,23,1,23
Access to Communications,1,0,1
Access to Finance,15,0,15
Access to Health Care,1,1,1
Chemical Safety,2,0,2
Community Relations,438,176,438
Controversial Sourcing,3,0,3
Financial Product Safety,6,0,6
Health and Demographic Risk,4,0,4
Health and Safety,401,113,401
Human Capital Development,296,100,296
Labor Management,594,110,594
Opportunities in Nutrition and Health,19,1,19
Privacy and Data Security,218,73,218
Product Safety and Quality,231,41,231
Responsible Investment,8,0,8
Supply Chain Labor Standards,302,78,302
Not ESG,3295,175,3295
