,2020-QUANTA COMPUTER-Annual,2020-QUANTA COMPUTER-CSR,max
Biodiversity and Land Use,29,46,46
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,1,1
Electronic Waste,22,12,22
Financing Environmental Impact,2,1,2
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,1,3,3
Packaging Material and Waste,15,34,34
Product Carbon Footprint,0,5,5
Raw Material Sourcing,22,14,22
Toxic Emissions and Waste,3,1,3
Water Stress,6,37,37
Accounting,3,0,3
Board,1,0,1
Business Ethics,104,32,104
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,4,2,4
Access to Communications,0,1,1
Access to Finance,1,0,1
Access to Health Care,1,0,1
Chemical Safety,1,4,4
Community Relations,34,37,37
Controversial Sourcing,0,0,0
Financial Product Safety,1,2,2
Health and Demographic Risk,1,2,2
Health and Safety,72,62,72
Human Capital Development,45,60,60
Labor Management,341,243,341
Opportunities in Nutrition and Health,4,6,6
Privacy and Data Security,120,25,120
Product Safety and Quality,156,99,156
Responsible Investment,2,0,2
Supply Chain Labor Standards,56,62,62
Not ESG,441,189,441
