,2020-RANDSTAD-Annual,max
Biodiversity and Land Use,63,63
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,5,5
Financing Environmental Impact,5,5
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,14,14
Product Carbon Footprint,0,0
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,20,20
Accounting,2,2
Board,0,0
Business Ethics,204,204
Ownership and Control,1,1
Pay,0,0
Tax Transparency,7,7
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,4,4
Community Relations,175,175
Controversial Sourcing,1,1
Financial Product Safety,5,5
Health and Demographic Risk,3,3
Health and Safety,107,107
Human Capital Development,311,311
Labor Management,573,573
Opportunities in Nutrition and Health,18,18
Privacy and Data Security,143,143
Product Safety and Quality,114,114
Responsible Investment,1,1
Supply Chain Labor Standards,191,191
Not ESG,1698,1698
