,2020-RAYTHEON-10K,2020-RAYTHEON-Annual,max
Biodiversity and Land Use,51,6,51
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,2,0,2
Financing Environmental Impact,3,1,3
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,42,8,42
Product Carbon Footprint,1,0,1
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,15,3,15
Accounting,1,0,1
Board,0,0,0
Business Ethics,97,9,97
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,189,1,189
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,2,0,2
Community Relations,101,33,101
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,39,19,39
Human Capital Development,70,19,70
Labor Management,91,13,91
Opportunities in Nutrition and Health,6,0,6
Privacy and Data Security,67,20,67
Product Safety and Quality,128,19,128
Responsible Investment,1,0,1
Supply Chain Labor Standards,159,8,159
Not ESG,1618,175,1618
