,2020-RELIANCE INDUSTRIES-Annual,max
Biodiversity and Land Use,213,213
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,35,35
Financing Environmental Impact,57,57
Opportunities in Clean Tech,8,8
Opportunities in Green Building,2,2
Opportunities in Renewable Energy,15,15
Packaging Material and Waste,235,235
Product Carbon Footprint,14,14
Raw Material Sourcing,22,22
Toxic Emissions and Waste,5,5
Water Stress,228,228
Accounting,5,5
Board,0,0
Business Ethics,157,157
Ownership and Control,11,11
Pay,0,0
Tax Transparency,27,27
Access to Communications,1,1
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,173,173
Controversial Sourcing,2,2
Financial Product Safety,9,9
Health and Demographic Risk,1,1
Health and Safety,144,144
Human Capital Development,126,126
Labor Management,663,663
Opportunities in Nutrition and Health,14,14
Privacy and Data Security,212,212
Product Safety and Quality,184,184
Responsible Investment,7,7
Supply Chain Labor Standards,377,377
Not ESG,2030,2030
