,2020-REPSOL-Annual,2020-REPSOL-Sustainability,max
Biodiversity and Land Use,424,49,424
Carbon Emissions,1,0,1
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,12,0,12
Opportunities in Clean Tech,4,0,4
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,24,1,24
Packaging Material and Waste,157,4,157
Product Carbon Footprint,1,0,1
Raw Material Sourcing,4,0,4
Toxic Emissions and Waste,3,0,3
Water Stress,303,8,303
Accounting,2,0,2
Board,0,0,0
Business Ethics,120,9,120
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,17,0,17
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,8,0,8
Community Relations,182,17,182
Controversial Sourcing,1,0,1
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,191,17,191
Human Capital Development,53,0,53
Labor Management,271,26,271
Opportunities in Nutrition and Health,4,0,4
Privacy and Data Security,44,1,44
Product Safety and Quality,134,7,134
Responsible Investment,2,0,2
Supply Chain Labor Standards,185,14,185
Not ESG,810,37,810
