,2020-RIO TINTO GROUP-Annual,max
Biodiversity and Land Use,597,597
Carbon Emissions,2,2
Climate Change Vulnerability,1,1
Electronic Waste,29,29
Financing Environmental Impact,58,58
Opportunities in Clean Tech,3,3
Opportunities in Green Building,2,2
Opportunities in Renewable Energy,12,12
Packaging Material and Waste,147,147
Product Carbon Footprint,8,8
Raw Material Sourcing,33,33
Toxic Emissions and Waste,7,7
Water Stress,369,369
Accounting,2,2
Board,0,0
Business Ethics,310,310
Ownership and Control,10,10
Pay,0,0
Tax Transparency,13,13
Access to Communications,0,0
Access to Finance,2,2
Access to Health Care,0,0
Chemical Safety,6,6
Community Relations,434,434
Controversial Sourcing,6,6
Financial Product Safety,7,7
Health and Demographic Risk,1,1
Health and Safety,323,323
Human Capital Development,261,261
Labor Management,522,522
Opportunities in Nutrition and Health,24,24
Privacy and Data Security,93,93
Product Safety and Quality,162,162
Responsible Investment,11,11
Supply Chain Labor Standards,244,244
Not ESG,3356,3356
