,2020-ROCHE GROUP-Annual,max
Biodiversity and Land Use,62,62
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,4,4
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,30,30
Product Carbon Footprint,3,3
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,28,28
Accounting,1,1
Board,0,0
Business Ethics,54,54
Ownership and Control,0,0
Pay,1,1
Tax Transparency,2,2
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,2,2
Chemical Safety,2,2
Community Relations,122,122
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,3,3
Health and Safety,476,476
Human Capital Development,50,50
Labor Management,142,142
Opportunities in Nutrition and Health,9,9
Privacy and Data Security,23,23
Product Safety and Quality,82,82
Responsible Investment,0,0
Supply Chain Labor Standards,49,49
Not ESG,470,470
