,2020-ROYAL DUTCH SHELL-Annual,2020-ROYAL DUTCH SHELL-Sustainability,max
Biodiversity and Land Use,501,344,501
Carbon Emissions,1,0,1
Climate Change Vulnerability,0,0,0
Electronic Waste,8,5,8
Financing Environmental Impact,28,1,28
Opportunities in Clean Tech,9,1,9
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,36,2,36
Packaging Material and Waste,178,148,178
Product Carbon Footprint,7,3,7
Raw Material Sourcing,17,1,17
Toxic Emissions and Waste,5,4,5
Water Stress,781,353,781
Accounting,0,0,0
Board,0,0,0
Business Ethics,267,70,267
Ownership and Control,4,0,4
Pay,0,0,0
Tax Transparency,6,0,6
Access to Communications,0,0,0
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,3,2,3
Community Relations,298,197,298
Controversial Sourcing,1,0,1
Financial Product Safety,0,0,0
Health and Demographic Risk,1,0,1
Health and Safety,243,119,243
Human Capital Development,196,38,196
Labor Management,504,59,504
Opportunities in Nutrition and Health,7,0,7
Privacy and Data Security,147,43,147
Product Safety and Quality,187,88,187
Responsible Investment,4,1,4
Supply Chain Labor Standards,335,106,335
Not ESG,3230,343,3230
