,2020-RWE-Sustainability,2020-RWE-Annual,max
Biodiversity and Land Use,270,104,270
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,4,4
Financing Environmental Impact,0,11,11
Opportunities in Clean Tech,0,9,9
Opportunities in Green Building,0,2,2
Opportunities in Renewable Energy,7,39,39
Packaging Material and Waste,70,69,70
Product Carbon Footprint,0,10,10
Raw Material Sourcing,0,3,3
Toxic Emissions and Waste,2,0,2
Water Stress,339,505,505
Accounting,0,1,1
Board,0,0,0
Business Ethics,81,36,81
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,91,54,91
Controversial Sourcing,0,0,0
Financial Product Safety,0,2,2
Health and Demographic Risk,0,0,0
Health and Safety,63,46,63
Human Capital Development,41,42,42
Labor Management,147,150,150
Opportunities in Nutrition and Health,0,3,3
Privacy and Data Security,56,23,56
Product Safety and Quality,79,59,79
Responsible Investment,0,0,0
Supply Chain Labor Standards,96,86,96
Not ESG,440,2078,2078
