,2020-SABIC-Annual,2020-SABIC-Sustainability,max
Biodiversity and Land Use,133,201,201
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,1,2
Financing Environmental Impact,1,0,1
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,1,8,8
Packaging Material and Waste,191,206,206
Product Carbon Footprint,0,0,0
Raw Material Sourcing,10,3,10
Toxic Emissions and Waste,4,0,4
Water Stress,58,76,76
Accounting,0,0,0
Board,0,0,0
Business Ethics,55,37,55
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,1,3,3
Community Relations,108,100,108
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,72,82,82
Human Capital Development,60,81,81
Labor Management,119,41,119
Opportunities in Nutrition and Health,1,3,3
Privacy and Data Security,26,25,26
Product Safety and Quality,109,67,109
Responsible Investment,0,0,0
Supply Chain Labor Standards,131,79,131
Not ESG,468,112,468
