,2020-SAIC MOTOR-Annual,max
Biodiversity and Land Use,33,33
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,59,59
Financing Environmental Impact,50,50
Opportunities in Clean Tech,11,11
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,15,15
Product Carbon Footprint,0,0
Raw Material Sourcing,27,27
Toxic Emissions and Waste,5,5
Water Stress,8,8
Accounting,13,13
Board,2,2
Business Ethics,16,16
Ownership and Control,6,6
Pay,0,0
Tax Transparency,17,17
Access to Communications,0,0
Access to Finance,12,12
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,37,37
Controversial Sourcing,1,1
Financial Product Safety,3,3
Health and Demographic Risk,4,4
Health and Safety,14,14
Human Capital Development,36,36
Labor Management,435,435
Opportunities in Nutrition and Health,22,22
Privacy and Data Security,12,12
Product Safety and Quality,68,68
Responsible Investment,5,5
Supply Chain Labor Standards,33,33
Not ESG,1147,1147
