,2020-SAMSUNG C_T-CSR,max
Biodiversity and Land Use,82,82
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,2,2
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,28,28
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,40,40
Accounting,0,0
Board,0,0
Business Ethics,26,26
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,60,60
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,105,105
Human Capital Development,48,48
Labor Management,237,237
Opportunities in Nutrition and Health,3,3
Privacy and Data Security,44,44
Product Safety and Quality,177,177
Responsible Investment,0,0
Supply Chain Labor Standards,41,41
Not ESG,196,196
