,2020-SAMSUNG ELECTRONICS-Sustainability,2020-SAMSUNG ELECTRONICS-Annual,max
Biodiversity and Land Use,127,24,127
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,23,23
Financing Environmental Impact,0,4,4
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,1,4
Packaging Material and Waste,89,25,89
Product Carbon Footprint,3,10,10
Raw Material Sourcing,3,18,18
Toxic Emissions and Waste,1,3,3
Water Stress,69,6,69
Accounting,0,0,0
Board,0,0,0
Business Ethics,54,14,54
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,1,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,4,4
Community Relations,72,9,72
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,90,30,90
Human Capital Development,72,12,72
Labor Management,174,160,174
Opportunities in Nutrition and Health,3,10,10
Privacy and Data Security,86,16,86
Product Safety and Quality,123,71,123
Responsible Investment,0,1,1
Supply Chain Labor Standards,93,27,93
Not ESG,207,301,301
