,2020-SANOFI-CSR,2020-SANOFI-Annual,max
Biodiversity and Land Use,117,13,117
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,6,6
Financing Environmental Impact,3,3,3
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,0,3
Packaging Material and Waste,61,8,61
Product Carbon Footprint,0,0,0
Raw Material Sourcing,7,2,7
Toxic Emissions and Waste,0,0,0
Water Stress,59,2,59
Accounting,0,1,1
Board,0,0,0
Business Ethics,75,37,75
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,2,4,4
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,1,0,1
Chemical Safety,3,3,3
Community Relations,88,24,88
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,9,2,9
Health and Safety,276,121,276
Human Capital Development,67,10,67
Labor Management,141,116,141
Opportunities in Nutrition and Health,8,5,8
Privacy and Data Security,58,11,58
Product Safety and Quality,122,26,122
Responsible Investment,1,1,1
Supply Chain Labor Standards,89,20,89
Not ESG,166,538,538
