,2020-SAP-Annual,max
Biodiversity and Land Use,196,196
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,20,20
Financing Environmental Impact,11,11
Opportunities in Clean Tech,9,9
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,4,4
Packaging Material and Waste,65,65
Product Carbon Footprint,12,12
Raw Material Sourcing,6,6
Toxic Emissions and Waste,1,1
Water Stress,86,86
Accounting,2,2
Board,0,0
Business Ethics,210,210
Ownership and Control,2,2
Pay,0,0
Tax Transparency,8,8
Access to Communications,1,1
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,140,140
Controversial Sourcing,1,1
Financial Product Safety,5,5
Health and Demographic Risk,0,0
Health and Safety,124,124
Human Capital Development,177,177
Labor Management,305,305
Opportunities in Nutrition and Health,17,17
Privacy and Data Security,598,598
Product Safety and Quality,220,220
Responsible Investment,2,2
Supply Chain Labor Standards,260,260
Not ESG,1788,1788
