,2020-SCHLUMBERGER-Annual,2020-SCHLUMBERGER-Sustainability,max
Biodiversity and Land Use,37,204,204
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,27,2,27
Financing Environmental Impact,21,1,21
Opportunities in Clean Tech,2,1,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,11,11
Packaging Material and Waste,20,66,66
Product Carbon Footprint,0,1,1
Raw Material Sourcing,2,1,2
Toxic Emissions and Waste,0,2,2
Water Stress,103,143,143
Accounting,3,0,3
Board,0,0,0
Business Ethics,42,75,75
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,10,1,10
Access to Communications,0,0,0
Access to Finance,6,0,6
Access to Health Care,0,0,0
Chemical Safety,3,2,3
Community Relations,59,101,101
Controversial Sourcing,0,0,0
Financial Product Safety,3,0,3
Health and Demographic Risk,0,1,1
Health and Safety,35,180,180
Human Capital Development,37,142,142
Labor Management,96,64,96
Opportunities in Nutrition and Health,20,3,20
Privacy and Data Security,63,51,63
Product Safety and Quality,39,72,72
Responsible Investment,1,0,1
Supply Chain Labor Standards,49,69,69
Not ESG,759,136,759
