,2020-SCHNEIDER ELECTRIC-Annual,max
Biodiversity and Land Use,85,85
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,1,1
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,4,4
Packaging Material and Waste,28,28
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,36,36
Accounting,0,0
Board,0,0
Business Ethics,20,20
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,24,24
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,14,14
Human Capital Development,16,16
Labor Management,26,26
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,17,17
Product Safety and Quality,20,20
Responsible Investment,0,0
Supply Chain Labor Standards,37,37
Not ESG,108,108
