,2020-SEVEN _ I HOLDINGS-CSR,max
Biodiversity and Land Use,276,276
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,9,9
Financing Environmental Impact,1,1
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,7,7
Packaging Material and Waste,210,210
Product Carbon Footprint,0,0
Raw Material Sourcing,7,7
Toxic Emissions and Waste,2,2
Water Stress,64,64
Accounting,0,0
Board,0,0
Business Ethics,70,70
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,216,216
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,121,121
Human Capital Development,141,141
Labor Management,521,521
Opportunities in Nutrition and Health,5,5
Privacy and Data Security,65,65
Product Safety and Quality,190,190
Responsible Investment,0,0
Supply Chain Labor Standards,181,181
Not ESG,444,444
