,2020-SHANGHAI PUDONG DEVELOPMENT BANK-Annual,max
Biodiversity and Land Use,11,11
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,4,4
Financing Environmental Impact,22,22
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,5,5
Product Carbon Footprint,0,0
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,7,7
Accounting,3,3
Board,0,0
Business Ethics,69,69
Ownership and Control,3,3
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,13,13
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,100,100
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,62,62
Human Capital Development,39,39
Labor Management,348,348
Opportunities in Nutrition and Health,2,2
Privacy and Data Security,37,37
Product Safety and Quality,86,86
Responsible Investment,1,1
Supply Chain Labor Standards,71,71
Not ESG,1987,1987
