,2020-SINOPEC GROUP-CSR,2020-SINOPEC GROUP-Annual,max
Biodiversity and Land Use,2,102,102
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,4,4
Financing Environmental Impact,2,12,12
Opportunities in Clean Tech,4,0,4
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,3,3
Packaging Material and Waste,0,144,144
Product Carbon Footprint,0,1,1
Raw Material Sourcing,0,9,9
Toxic Emissions and Waste,0,1,1
Water Stress,0,81,81
Accounting,0,0,0
Board,0,0,0
Business Ethics,0,43,43
Ownership and Control,1,1,1
Pay,0,0,0
Tax Transparency,0,1,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,3,12,12
Community Relations,0,73,73
Controversial Sourcing,0,1,1
Financial Product Safety,3,0,3
Health and Demographic Risk,0,0,0
Health and Safety,0,55,55
Human Capital Development,0,25,25
Labor Management,12,258,258
Opportunities in Nutrition and Health,1,0,1
Privacy and Data Security,0,20,20
Product Safety and Quality,1,96,96
Responsible Investment,0,1,1
Supply Chain Labor Standards,0,79,79
Not ESG,16,1573,1573
