,2020-SINOPHARM-Sustainability,2020-SINOPHARM-Annual,max
Biodiversity and Land Use,15,17,17
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,3,10,10
Financing Environmental Impact,1,6,6
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,0,2
Packaging Material and Waste,29,7,29
Product Carbon Footprint,0,0,0
Raw Material Sourcing,4,2,4
Toxic Emissions and Waste,4,1,4
Water Stress,15,7,15
Accounting,0,0,0
Board,0,0,0
Business Ethics,13,27,27
Ownership and Control,0,2,2
Pay,0,0,0
Tax Transparency,0,2,2
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,11,65,65
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,0,2,2
Health and Safety,56,79,79
Human Capital Development,2,23,23
Labor Management,67,189,189
Opportunities in Nutrition and Health,1,4,4
Privacy and Data Security,13,16,16
Product Safety and Quality,66,46,66
Responsible Investment,0,0,0
Supply Chain Labor Standards,29,56,56
Not ESG,73,1392,1392
