,2020-SK HOLDINGS-Sustainability,2020-SK HOLDINGS-Annual,max
Biodiversity and Land Use,76,96,96
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,4,4,4
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,3,3
Packaging Material and Waste,16,31,31
Product Carbon Footprint,0,2,2
Raw Material Sourcing,6,2,6
Toxic Emissions and Waste,1,0,1
Water Stress,16,59,59
Accounting,0,0,0
Board,0,0,0
Business Ethics,61,98,98
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,1,3,3
Access to Communications,0,1,1
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,1,2,2
Community Relations,78,102,102
Controversial Sourcing,0,1,1
Financial Product Safety,0,2,2
Health and Demographic Risk,0,0,0
Health and Safety,102,123,123
Human Capital Development,59,57,59
Labor Management,312,279,312
Opportunities in Nutrition and Health,3,4,4
Privacy and Data Security,178,195,195
Product Safety and Quality,76,111,111
Responsible Investment,0,0,0
Supply Chain Labor Standards,76,108,108
Not ESG,222,615,615
