,2020-SK HYNIX-Sustainability,max
Biodiversity and Land Use,102,102
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,0,0
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,4,4
Packaging Material and Waste,34,34
Product Carbon Footprint,4,4
Raw Material Sourcing,2,2
Toxic Emissions and Waste,2,2
Water Stress,59,59
Accounting,0,0
Board,0,0
Business Ethics,67,67
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,30,30
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,109,109
Human Capital Development,45,45
Labor Management,175,175
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,32,32
Product Safety and Quality,94,94
Responsible Investment,0,0
Supply Chain Labor Standards,139,139
Not ESG,204,204
