,2020-SOFTBANK GROUP-Sustainability,2020-SOFTBANK GROUP-Annual,max
Biodiversity and Land Use,36,18,36
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,74,74
Financing Environmental Impact,1,311,311
Opportunities in Clean Tech,0,5,5
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,1,2,2
Packaging Material and Waste,11,11,11
Product Carbon Footprint,0,2,2
Raw Material Sourcing,0,14,14
Toxic Emissions and Waste,0,0,0
Water Stress,22,14,22
Accounting,0,16,16
Board,0,1,1
Business Ethics,36,60,60
Ownership and Control,0,23,23
Pay,0,0,0
Tax Transparency,0,37,37
Access to Communications,0,6,6
Access to Finance,0,16,16
Access to Health Care,0,0,0
Chemical Safety,0,5,5
Community Relations,28,88,88
Controversial Sourcing,0,0,0
Financial Product Safety,0,11,11
Health and Demographic Risk,0,0,0
Health and Safety,24,39,39
Human Capital Development,15,30,30
Labor Management,33,405,405
Opportunities in Nutrition and Health,1,27,27
Privacy and Data Security,30,109,109
Product Safety and Quality,10,41,41
Responsible Investment,0,17,17
Supply Chain Labor Standards,15,87,87
Not ESG,46,2220,2220
