,2020-SOMPO HOLDINGS-Annual,2020-SOMPO HOLDINGS-Sustainability,max
Biodiversity and Land Use,54,26,54
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,11,3,11
Financing Environmental Impact,8,0,8
Opportunities in Clean Tech,3,1,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,4,4
Packaging Material and Waste,11,8,11
Product Carbon Footprint,1,1,1
Raw Material Sourcing,3,1,3
Toxic Emissions and Waste,0,0,0
Water Stress,11,10,11
Accounting,4,0,4
Board,1,0,1
Business Ethics,34,1,34
Ownership and Control,7,0,7
Pay,1,0,1
Tax Transparency,4,0,4
Access to Communications,3,0,3
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,76,28,76
Controversial Sourcing,1,0,1
Financial Product Safety,2,0,2
Health and Demographic Risk,4,0,4
Health and Safety,139,63,139
Human Capital Development,61,9,61
Labor Management,375,65,375
Opportunities in Nutrition and Health,16,2,16
Privacy and Data Security,60,4,60
Product Safety and Quality,75,33,75
Responsible Investment,8,0,8
Supply Chain Labor Standards,55,9,55
Not ESG,643,56,643
