,2020-SONY-Sustainability,2020-SONY-Annual,max
Biodiversity and Land Use,42,13,42
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,185,4,185
Financing Environmental Impact,3,5,5
Opportunities in Clean Tech,4,0,4
Opportunities in Green Building,4,0,4
Opportunities in Renewable Energy,13,1,13
Packaging Material and Waste,32,5,32
Product Carbon Footprint,28,0,28
Raw Material Sourcing,146,5,146
Toxic Emissions and Waste,104,3,104
Water Stress,14,2,14
Accounting,0,0,0
Board,0,1,1
Business Ethics,5,19,19
Ownership and Control,22,2,22
Pay,0,1,1
Tax Transparency,10,3,10
Access to Communications,1,2,2
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,23,1,23
Community Relations,1,55,55
Controversial Sourcing,14,0,14
Financial Product Safety,0,0,0
Health and Demographic Risk,2,0,2
Health and Safety,19,20,20
Human Capital Development,4,37,37
Labor Management,349,174,349
Opportunities in Nutrition and Health,49,0,49
Privacy and Data Security,17,48,48
Product Safety and Quality,29,54,54
Responsible Investment,3,0,3
Supply Chain Labor Standards,12,52,52
Not ESG,35,219,219
