,2020-SUBARU-Annual,max
Biodiversity and Land Use,38,38
Carbon Emissions,1,1
Climate Change Vulnerability,0,0
Electronic Waste,16,16
Financing Environmental Impact,14,14
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,39,39
Product Carbon Footprint,0,0
Raw Material Sourcing,6,6
Toxic Emissions and Waste,3,3
Water Stress,11,11
Accounting,1,1
Board,1,1
Business Ethics,40,40
Ownership and Control,1,1
Pay,0,0
Tax Transparency,5,5
Access to Communications,1,1
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,49,49
Controversial Sourcing,0,0
Financial Product Safety,2,2
Health and Demographic Risk,0,0
Health and Safety,46,46
Human Capital Development,34,34
Labor Management,285,285
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,19,19
Product Safety and Quality,237,237
Responsible Investment,5,5
Supply Chain Labor Standards,49,49
Not ESG,507,507
