,2020-SUMITOMO ELECTRIC INDUSTRIES-Annual,2020-SUMITOMO ELECTRIC INDUSTRIES-CSR,max
Biodiversity and Land Use,19,92,92
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,2,9,9
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,6,13,13
Packaging Material and Waste,75,64,75
Product Carbon Footprint,0,0,0
Raw Material Sourcing,8,12,12
Toxic Emissions and Waste,0,8,8
Water Stress,60,48,60
Accounting,0,0,0
Board,0,0,0
Business Ethics,33,40,40
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,1,3,3
Community Relations,61,41,61
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,43,75,75
Human Capital Development,26,29,29
Labor Management,163,239,239
Opportunities in Nutrition and Health,1,0,1
Privacy and Data Security,45,30,45
Product Safety and Quality,102,151,151
Responsible Investment,0,1,1
Supply Chain Labor Standards,38,61,61
Not ESG,353,307,353
