,2020-SUMITOMO MITSUI FINANCIAL GROUP-Annual,max
Biodiversity and Land Use,35,35
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,63,63
Financing Environmental Impact,81,81
Opportunities in Clean Tech,16,16
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,6,6
Product Carbon Footprint,1,1
Raw Material Sourcing,17,17
Toxic Emissions and Waste,2,2
Water Stress,17,17
Accounting,33,33
Board,0,0
Business Ethics,106,106
Ownership and Control,16,16
Pay,0,0
Tax Transparency,13,13
Access to Communications,2,2
Access to Finance,12,12
Access to Health Care,0,0
Chemical Safety,10,10
Community Relations,103,103
Controversial Sourcing,5,5
Financial Product Safety,19,19
Health and Demographic Risk,3,3
Health and Safety,105,105
Human Capital Development,80,80
Labor Management,575,575
Opportunities in Nutrition and Health,17,17
Privacy and Data Security,95,95
Product Safety and Quality,115,115
Responsible Investment,3,3
Supply Chain Labor Standards,92,92
Not ESG,1538,1538
