,2020-SUMITOMO-ESG,2020-SUMITOMO-Annual,max
Biodiversity and Land Use,222,91,222
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,2,2
Financing Environmental Impact,1,1,1
Opportunities in Clean Tech,1,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,8,15,15
Packaging Material and Waste,68,36,68
Product Carbon Footprint,3,1,3
Raw Material Sourcing,3,6,6
Toxic Emissions and Waste,5,1,5
Water Stress,123,39,123
Accounting,0,0,0
Board,0,0,0
Business Ethics,55,39,55
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,1,1,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,169,128,169
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,114,23,114
Human Capital Development,104,27,104
Labor Management,259,214,259
Opportunities in Nutrition and Health,2,0,2
Privacy and Data Security,32,31,32
Product Safety and Quality,66,32,66
Responsible Investment,1,1,1
Supply Chain Labor Standards,73,74,74
Not ESG,234,276,276
