,2020-SUZUKI MOTOR-Annual,2020-SUZUKI MOTOR-CSR,max
Biodiversity and Land Use,48,201,201
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,21,21
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,2,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,2,2
Packaging Material and Waste,44,212,212
Product Carbon Footprint,0,6,6
Raw Material Sourcing,5,16,16
Toxic Emissions and Waste,0,11,11
Water Stress,23,101,101
Accounting,0,0,0
Board,0,0,0
Business Ethics,29,24,29
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,1,1
Chemical Safety,0,2,2
Community Relations,23,45,45
Controversial Sourcing,1,0,1
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,50,74,74
Human Capital Development,19,35,35
Labor Management,141,253,253
Opportunities in Nutrition and Health,3,3,3
Privacy and Data Security,22,18,22
Product Safety and Quality,150,228,228
Responsible Investment,0,0,0
Supply Chain Labor Standards,28,30,30
Not ESG,261,344,344
