,2020-SWISS RE-Sustainability,max
Biodiversity and Land Use,61,61
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,44,44
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,42,42
Accounting,0,0
Board,0,0
Business Ethics,25,25
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,129,129
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,38,38
Human Capital Development,78,78
Labor Management,67,67
Opportunities in Nutrition and Health,4,4
Privacy and Data Security,81,81
Product Safety and Quality,25,25
Responsible Investment,0,0
Supply Chain Labor Standards,50,50
Not ESG,83,83
