,2020-SYSCO-Annual,max
Biodiversity and Land Use,18,18
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,15,15
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,36,36
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,1,1
Water Stress,12,12
Accounting,6,6
Board,0,0
Business Ethics,52,52
Ownership and Control,4,4
Pay,0,0
Tax Transparency,10,10
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,149,149
Controversial Sourcing,1,1
Financial Product Safety,2,2
Health and Demographic Risk,0,0
Health and Safety,38,38
Human Capital Development,105,105
Labor Management,122,122
Opportunities in Nutrition and Health,24,24
Privacy and Data Security,44,44
Product Safety and Quality,97,97
Responsible Investment,4,4
Supply Chain Labor Standards,263,263
Not ESG,999,999
