,2020-TARGET-Annual,2020-TARGET-CSR,2020-TARGET-10K,max
Biodiversity and Land Use,12,172,9,172
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,1,0,0,1
Financing Environmental Impact,5,3,4,5
Opportunities in Clean Tech,1,1,0,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,5,0,5
Packaging Material and Waste,7,158,6,158
Product Carbon Footprint,0,2,0,2
Raw Material Sourcing,1,4,0,4
Toxic Emissions and Waste,0,0,1,1
Water Stress,0,104,0,104
Accounting,2,0,3,3
Board,0,0,0,0
Business Ethics,38,71,33,71
Ownership and Control,0,0,0,0
Pay,0,0,0,0
Tax Transparency,7,2,8,8
Access to Communications,1,0,0,1
Access to Finance,0,0,0,0
Access to Health Care,0,0,0,0
Chemical Safety,0,1,0,1
Community Relations,86,288,71,288
Controversial Sourcing,1,1,0,1
Financial Product Safety,1,0,1,1
Health and Demographic Risk,0,0,0,0
Health and Safety,20,76,19,76
Human Capital Development,52,165,49,165
Labor Management,61,107,46,107
Opportunities in Nutrition and Health,7,3,5,7
Privacy and Data Security,39,59,39,59
Product Safety and Quality,42,50,44,50
Responsible Investment,1,0,0,1
Supply Chain Labor Standards,112,217,122,217
Not ESG,477,111,473,477
