,2020-TATA MOTORS-Annual,2020-TATA MOTORS-CSR,max
Biodiversity and Land Use,121,50,121
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,125,0,125
Financing Environmental Impact,61,0,61
Opportunities in Clean Tech,8,0,8
Opportunities in Green Building,2,0,2
Opportunities in Renewable Energy,2,3,3
Packaging Material and Waste,172,5,172
Product Carbon Footprint,6,0,6
Raw Material Sourcing,21,1,21
Toxic Emissions and Waste,2,0,2
Water Stress,57,10,57
Accounting,28,0,28
Board,1,0,1
Business Ethics,142,3,142
Ownership and Control,20,0,20
Pay,0,0,0
Tax Transparency,47,1,47
Access to Communications,0,0,0
Access to Finance,14,0,14
Access to Health Care,0,0,0
Chemical Safety,2,0,2
Community Relations,161,75,161
Controversial Sourcing,1,0,1
Financial Product Safety,22,0,22
Health and Demographic Risk,5,0,5
Health and Safety,116,41,116
Human Capital Development,99,51,99
Labor Management,955,74,955
Opportunities in Nutrition and Health,13,9,13
Privacy and Data Security,71,3,71
Product Safety and Quality,476,10,476
Responsible Investment,6,0,6
Supply Chain Labor Standards,370,5,370
Not ESG,3088,62,3088
