,2020-TENCENT HOLDINGS-Annual,max
Biodiversity and Land Use,67,67
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,6,6
Financing Environmental Impact,4,4
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,24,24
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,2,2
Water Stress,39,39
Accounting,0,0
Board,0,0
Business Ethics,93,93
Ownership and Control,4,4
Pay,0,0
Tax Transparency,2,2
Access to Communications,1,1
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,80,80
Controversial Sourcing,0,0
Financial Product Safety,3,3
Health and Demographic Risk,1,1
Health and Safety,84,84
Human Capital Development,63,63
Labor Management,285,285
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,202,202
Product Safety and Quality,122,122
Responsible Investment,0,0
Supply Chain Labor Standards,89,89
Not ESG,1371,1371
