,2020-TOKYO ELECTRIC POWER-Annual,max
Biodiversity and Land Use,49,49
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,1,1
Financing Environmental Impact,1,1
Opportunities in Clean Tech,5,5
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,55,55
Packaging Material and Waste,25,25
Product Carbon Footprint,2,2
Raw Material Sourcing,5,5
Toxic Emissions and Waste,2,2
Water Stress,175,175
Accounting,0,0
Board,0,0
Business Ethics,20,20
Ownership and Control,1,1
Pay,0,0
Tax Transparency,4,4
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,46,46
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,44,44
Human Capital Development,20,20
Labor Management,142,142
Opportunities in Nutrition and Health,2,2
Privacy and Data Security,21,21
Product Safety and Quality,37,37
Responsible Investment,0,0
Supply Chain Labor Standards,27,27
Not ESG,297,297
