,2020-TORONTO DOMINION BANK-Annual,max
Biodiversity and Land Use,40,40
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,47,47
Opportunities in Clean Tech,10,10
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,5,5
Packaging Material and Waste,12,12
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,25,25
Accounting,3,3
Board,5,5
Business Ethics,262,262
Ownership and Control,1,1
Pay,0,0
Tax Transparency,21,21
Access to Communications,1,1
Access to Finance,16,16
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,285,285
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,2,2
Health and Safety,187,187
Human Capital Development,75,75
Labor Management,135,135
Opportunities in Nutrition and Health,44,44
Privacy and Data Security,92,92
Product Safety and Quality,73,73
Responsible Investment,0,0
Supply Chain Labor Standards,154,154
Not ESG,2948,2948
