,2020-TOSHIBA-Sustainability,max
Biodiversity and Land Use,319,319
Carbon Emissions,1,1
Climate Change Vulnerability,0,0
Electronic Waste,4,4
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,9,9
Packaging Material and Waste,91,91
Product Carbon Footprint,1,1
Raw Material Sourcing,5,5
Toxic Emissions and Waste,5,5
Water Stress,101,101
Accounting,0,0
Board,0,0
Business Ethics,125,125
Ownership and Control,1,1
Pay,0,0
Tax Transparency,0,0
Access to Communications,1,1
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,151,151
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,304,304
Human Capital Development,110,110
Labor Management,404,404
Opportunities in Nutrition and Health,4,4
Privacy and Data Security,129,129
Product Safety and Quality,371,371
Responsible Investment,0,0
Supply Chain Labor Standards,140,140
Not ESG,314,314
