,2020-TOTAL-Annual,2020-TOTAL-ESG,max
Biodiversity and Land Use,609,176,609
Carbon Emissions,1,0,1
Climate Change Vulnerability,0,0,0
Electronic Waste,23,0,23
Financing Environmental Impact,34,1,34
Opportunities in Clean Tech,18,1,18
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,80,22,80
Packaging Material and Waste,238,87,238
Product Carbon Footprint,15,1,15
Raw Material Sourcing,33,2,33
Toxic Emissions and Waste,6,1,6
Water Stress,832,160,832
Accounting,1,0,1
Board,4,0,4
Business Ethics,279,6,279
Ownership and Control,14,0,14
Pay,0,0,0
Tax Transparency,13,0,13
Access to Communications,0,0,0
Access to Finance,10,0,10
Access to Health Care,0,0,0
Chemical Safety,9,0,9
Community Relations,438,10,438
Controversial Sourcing,1,0,1
Financial Product Safety,6,0,6
Health and Demographic Risk,4,0,4
Health and Safety,354,1,354
Human Capital Development,178,2,178
Labor Management,733,8,733
Opportunities in Nutrition and Health,16,0,16
Privacy and Data Security,87,4,87
Product Safety and Quality,228,6,228
Responsible Investment,4,0,4
Supply Chain Labor Standards,321,16,321
Not ESG,3526,149,3526
