,2020-TOYOTA MOTOR-Annual,2020-TOYOTA MOTOR-Sustainability,max
Biodiversity and Land Use,12,64,64
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,0,2
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,1,1
Packaging Material and Waste,21,78,78
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,1,1
Toxic Emissions and Waste,0,1,1
Water Stress,3,31,31
Accounting,1,0,1
Board,0,0,0
Business Ethics,8,22,22
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,0,0
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,18,72,72
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,4,43,43
Human Capital Development,12,53,53
Labor Management,49,55,55
Opportunities in Nutrition and Health,1,1,1
Privacy and Data Security,7,21,21
Product Safety and Quality,36,116,116
Responsible Investment,0,0,0
Supply Chain Labor Standards,49,65,65
Not ESG,434,124,434
