,2020-TOYOTA TSUSHO-Annual,max
Biodiversity and Land Use,99,99
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,5,5
Financing Environmental Impact,4,4
Opportunities in Clean Tech,5,5
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,13,13
Packaging Material and Waste,64,64
Product Carbon Footprint,3,3
Raw Material Sourcing,13,13
Toxic Emissions and Waste,0,0
Water Stress,42,42
Accounting,1,1
Board,0,0
Business Ethics,49,49
Ownership and Control,0,0
Pay,0,0
Tax Transparency,3,3
Access to Communications,1,1
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,55,55
Controversial Sourcing,2,2
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,43,43
Human Capital Development,27,27
Labor Management,173,173
Opportunities in Nutrition and Health,5,5
Privacy and Data Security,9,9
Product Safety and Quality,66,66
Responsible Investment,1,1
Supply Chain Labor Standards,50,50
Not ESG,207,207
