,2020-TRAVELERS COS-10K,2020-TRAVELERS COS-Annual,2020-TRAVELERS COS-Sustainability,max
Biodiversity and Land Use,85,111,108,111
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,1,0,0,1
Electronic Waste,4,91,1,91
Financing Environmental Impact,15,36,1,36
Opportunities in Clean Tech,1,15,0,15
Opportunities in Green Building,0,2,0,2
Opportunities in Renewable Energy,0,1,0,1
Packaging Material and Waste,32,33,20,33
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,4,17,2,17
Toxic Emissions and Waste,1,1,1,1
Water Stress,12,29,46,46
Accounting,20,5,0,20
Board,23,6,0,23
Business Ethics,110,133,161,161
Ownership and Control,7,2,0,7
Pay,2,1,0,2
Tax Transparency,22,13,0,22
Access to Communications,10,2,2,10
Access to Finance,23,11,0,23
Access to Health Care,0,0,0,0
Chemical Safety,23,9,0,23
Community Relations,278,335,350,350
Controversial Sourcing,13,1,0,13
Financial Product Safety,1,5,0,5
Health and Demographic Risk,8,4,1,8
Health and Safety,118,137,305,305
Human Capital Development,113,148,343,343
Labor Management,183,295,200,295
Opportunities in Nutrition and Health,24,116,6,116
Privacy and Data Security,89,96,187,187
Product Safety and Quality,76,94,157,157
Responsible Investment,4,1,0,4
Supply Chain Labor Standards,170,227,179,227
Not ESG,1704,2253,286,2253
