,2020-TSMC-CSR,2020-TSMC-Annual,max
Biodiversity and Land Use,155,67,155
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,7,23,23
Financing Environmental Impact,0,17,17
Opportunities in Clean Tech,1,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,10,3,10
Packaging Material and Waste,185,96,185
Product Carbon Footprint,1,2,2
Raw Material Sourcing,10,10,10
Toxic Emissions and Waste,4,0,4
Water Stress,135,47,135
Accounting,0,7,7
Board,0,0,0
Business Ethics,83,143,143
Ownership and Control,0,2,2
Pay,0,1,1
Tax Transparency,0,13,13
Access to Communications,0,0,0
Access to Finance,0,10,10
Access to Health Care,0,0,0
Chemical Safety,1,5,5
Community Relations,94,75,94
Controversial Sourcing,2,0,2
Financial Product Safety,1,1,1
Health and Demographic Risk,0,3,3
Health and Safety,203,122,203
Human Capital Development,156,77,156
Labor Management,333,377,377
Opportunities in Nutrition and Health,4,10,10
Privacy and Data Security,74,92,92
Product Safety and Quality,174,185,185
Responsible Investment,0,3,3
Supply Chain Labor Standards,149,97,149
Not ESG,544,1257,1257
