,2020-UBS GROUP-Sustainability,2020-UBS GROUP-Annual,max
Biodiversity and Land Use,379,150,379
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,3,9,9
Financing Environmental Impact,17,89,89
Opportunities in Clean Tech,15,10,15
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,56,10,56
Packaging Material and Waste,47,11,47
Product Carbon Footprint,4,0,4
Raw Material Sourcing,9,1,9
Toxic Emissions and Waste,1,0,1
Water Stress,132,32,132
Accounting,0,24,24
Board,0,1,1
Business Ethics,194,230,230
Ownership and Control,1,10,10
Pay,0,0,0
Tax Transparency,5,34,34
Access to Communications,0,1,1
Access to Finance,0,29,29
Access to Health Care,0,0,0
Chemical Safety,1,7,7
Community Relations,223,267,267
Controversial Sourcing,0,2,2
Financial Product Safety,0,6,6
Health and Demographic Risk,0,9,9
Health and Safety,56,182,182
Human Capital Development,141,308,308
Labor Management,170,511,511
Opportunities in Nutrition and Health,6,33,33
Privacy and Data Security,73,153,153
Product Safety and Quality,41,153,153
Responsible Investment,7,10,10
Supply Chain Labor Standards,134,253,253
Not ESG,335,4009,4009
