,2020-ULTRAPAR HOLDINGS-Annual,max
Biodiversity and Land Use,79,79
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,2,2
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,65,65
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,80,80
Accounting,0,0
Board,0,0
Business Ethics,50,50
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,6,6
Community Relations,44,44
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,81,81
Human Capital Development,22,22
Labor Management,132,132
Opportunities in Nutrition and Health,7,7
Privacy and Data Security,45,45
Product Safety and Quality,58,58
Responsible Investment,0,0
Supply Chain Labor Standards,68,68
Not ESG,326,326
