,2020-UNICREDIT GROUP-Annual,max
Biodiversity and Land Use,54,54
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,60,60
Financing Environmental Impact,447,447
Opportunities in Clean Tech,5,5
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,5,5
Packaging Material and Waste,3,3
Product Carbon Footprint,0,0
Raw Material Sourcing,23,23
Toxic Emissions and Waste,0,0
Water Stress,12,12
Accounting,71,71
Board,1,1
Business Ethics,86,86
Ownership and Control,94,94
Pay,0,0
Tax Transparency,138,138
Access to Communications,1,1
Access to Finance,103,103
Access to Health Care,0,0
Chemical Safety,15,15
Community Relations,110,110
Controversial Sourcing,21,21
Financial Product Safety,11,11
Health and Demographic Risk,7,7
Health and Safety,146,146
Human Capital Development,83,83
Labor Management,626,626
Opportunities in Nutrition and Health,39,39
Privacy and Data Security,93,93
Product Safety and Quality,112,112
Responsible Investment,13,13
Supply Chain Labor Standards,93,93
Not ESG,3626,3626
