,2020-UNILEVER-Sustainability,max
Biodiversity and Land Use,38,38
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,28,28
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,6,6
Accounting,0,0
Board,0,0
Business Ethics,11,11
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,52,52
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,30,30
Human Capital Development,18,18
Labor Management,35,35
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,8,8
Product Safety and Quality,11,11
Responsible Investment,0,0
Supply Chain Labor Standards,48,48
Not ESG,22,22
