,2020-UNIPER-Annual,2020-UNIPER-Sustainability,max
Biodiversity and Land Use,72,193,193
Carbon Emissions,1,0,1
Climate Change Vulnerability,0,0,0
Electronic Waste,5,0,5
Financing Environmental Impact,19,0,19
Opportunities in Clean Tech,5,1,5
Opportunities in Green Building,2,0,2
Opportunities in Renewable Energy,42,21,42
Packaging Material and Waste,44,92,92
Product Carbon Footprint,1,3,3
Raw Material Sourcing,7,1,7
Toxic Emissions and Waste,0,3,3
Water Stress,195,226,226
Accounting,5,0,5
Board,0,0,0
Business Ethics,50,72,72
Ownership and Control,5,0,5
Pay,0,0,0
Tax Transparency,3,1,3
Access to Communications,0,0,0
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,31,62,62
Controversial Sourcing,0,0,0
Financial Product Safety,1,1,1
Health and Demographic Risk,3,0,3
Health and Safety,100,59,100
Human Capital Development,38,51,51
Labor Management,149,106,149
Opportunities in Nutrition and Health,5,1,5
Privacy and Data Security,27,38,38
Product Safety and Quality,42,34,42
Responsible Investment,4,0,4
Supply Chain Labor Standards,44,41,44
Not ESG,1957,394,1957
