,2020-UNITED PARCEL SERVICE-Sustainability,2020-UNITED PARCEL SERVICE-Annual,2020-UNITED PARCEL SERVICE-10K,max
Biodiversity and Land Use,9,50,30,50
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,0,0,1,1
Financing Environmental Impact,0,1,5,5
Opportunities in Clean Tech,0,0,1,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,2,0,2
Packaging Material and Waste,8,16,52,52
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,0,0,1,1
Toxic Emissions and Waste,0,0,0,0
Water Stress,3,9,12,12
Accounting,0,0,3,3
Board,0,1,0,1
Business Ethics,1,115,70,115
Ownership and Control,0,3,0,3
Pay,0,1,0,1
Tax Transparency,0,9,5,9
Access to Communications,0,0,2,2
Access to Finance,0,2,3,3
Access to Health Care,0,0,0,0
Chemical Safety,0,3,3,3
Community Relations,5,141,140,141
Controversial Sourcing,0,1,1,1
Financial Product Safety,0,1,0,1
Health and Demographic Risk,0,2,5,5
Health and Safety,3,52,49,52
Human Capital Development,3,264,140,264
Labor Management,3,223,113,223
Opportunities in Nutrition and Health,0,8,16,16
Privacy and Data Security,1,30,79,79
Product Safety and Quality,0,16,54,54
Responsible Investment,0,2,0,2
Supply Chain Labor Standards,2,96,157,157
Not ESG,5,968,1312,1312
