,2020-UNITEDHEALTH GROUP-Sustainability,2020-UNITEDHEALTH GROUP-10K,max
Biodiversity and Land Use,22,4,22
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,20,20
Financing Environmental Impact,0,19,19
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,11,3,11
Product Carbon Footprint,0,1,1
Raw Material Sourcing,0,3,3
Toxic Emissions and Waste,0,1,1
Water Stress,3,1,3
Accounting,0,8,8
Board,0,1,1
Business Ethics,27,82,82
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,15,15
Access to Communications,0,0,0
Access to Finance,0,2,2
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,108,127,127
Controversial Sourcing,0,0,0
Financial Product Safety,0,2,2
Health and Demographic Risk,0,1,1
Health and Safety,142,250,250
Human Capital Development,80,135,135
Labor Management,27,108,108
Opportunities in Nutrition and Health,1,25,25
Privacy and Data Security,33,69,69
Product Safety and Quality,4,35,35
Responsible Investment,0,0,0
Supply Chain Labor Standards,33,72,72
Not ESG,16,549,549
