,2020-VALE-Annual,max
Biodiversity and Land Use,29,29
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,3,3
Product Carbon Footprint,1,1
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,28,28
Accounting,0,0
Board,0,0
Business Ethics,2,2
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,19,19
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,18,18
Human Capital Development,0,0
Labor Management,14,14
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,3,3
Product Safety and Quality,5,5
Responsible Investment,0,0
Supply Chain Labor Standards,2,2
Not ESG,37,37
