,2020-VALERO ENERGY-Sustainability,2020-VALERO ENERGY-10K,max
Biodiversity and Land Use,116,125,125
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,0,0,0
Financing Environmental Impact,0,5,5
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,5,5
Packaging Material and Waste,39,93,93
Product Carbon Footprint,3,0,3
Raw Material Sourcing,1,5,5
Toxic Emissions and Waste,1,1,1
Water Stress,77,133,133
Accounting,0,2,2
Board,0,0,0
Business Ethics,36,73,73
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,7,7
Access to Communications,1,0,1
Access to Finance,0,1,1
Access to Health Care,0,1,1
Chemical Safety,1,4,4
Community Relations,81,64,81
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,1,1
Health and Safety,54,15,54
Human Capital Development,78,50,78
Labor Management,36,48,48
Opportunities in Nutrition and Health,1,4,4
Privacy and Data Security,17,39,39
Product Safety and Quality,42,35,42
Responsible Investment,1,2,2
Supply Chain Labor Standards,17,62,62
Not ESG,91,992,992
