,2020-VEOLIA ENVIRONNEMENT-Annual,max
Biodiversity and Land Use,62,62
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,1,1
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,4,4
Packaging Material and Waste,44,44
Product Carbon Footprint,1,1
Raw Material Sourcing,4,4
Toxic Emissions and Waste,6,6
Water Stress,46,46
Accounting,0,0
Board,0,0
Business Ethics,16,16
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,41,41
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,23,23
Human Capital Development,21,21
Labor Management,75,75
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,9,9
Product Safety and Quality,16,16
Responsible Investment,0,0
Supply Chain Labor Standards,41,41
Not ESG,87,87
