,2020-VERIZON COMMUNICATIONS-10K,2020-VERIZON COMMUNICATIONS-ESG,max
Biodiversity and Land Use,8,92,92
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,4,4
Financing Environmental Impact,11,0,11
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,5,5
Packaging Material and Waste,5,54,54
Product Carbon Footprint,0,2,2
Raw Material Sourcing,0,4,4
Toxic Emissions and Waste,1,7,7
Water Stress,8,68,68
Accounting,0,0,0
Board,0,0,0
Business Ethics,37,76,76
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,5,1,5
Access to Communications,3,3,3
Access to Finance,4,0,4
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,101,190,190
Controversial Sourcing,0,0,0
Financial Product Safety,2,0,2
Health and Demographic Risk,0,0,0
Health and Safety,24,40,40
Human Capital Development,86,153,153
Labor Management,67,47,67
Opportunities in Nutrition and Health,6,13,13
Privacy and Data Security,261,219,261
Product Safety and Quality,29,15,29
Responsible Investment,1,0,1
Supply Chain Labor Standards,80,56,80
Not ESG,1262,120,1262
